"final_grade","study_time","class_failures","school_support","family_support","extra_paid_classes","higher_ed","internet_access","absences"
11,2,0,0,1,1,1,1,3
15,2,0,0,1,0,1,1,1
15,2,0,0,0,0,1,1,0
11,2,0,0,0,0,1,1,3
16,3,0,0,0,0,1,1,3
10,3,0,0,1,0,1,1,8
9,2,0,0,1,1,1,1,7
14,2,0,0,1,1,1,1,4
8,4,0,0,1,0,1,1,2
14,2,0,0,1,0,1,1,7
0,1,0,0,0,0,1,1,0
0,1,0,0,0,0,1,1,0
0,4,0,0,0,0,1,0,0
15,2,0,0,0,0,1,1,16
13,2,1,0,0,1,1,0,12
0,1,0,0,1,1,1,1,0
17,4,0,0,1,0,1,1,7
10,1,0,0,1,1,1,1,4
11,2,1,0,0,1,1,1,4
0,1,1,0,1,0,1,1,0
15,1,0,0,0,0,1,1,11
0,1,1,0,1,0,1,1,0
10,2,0,0,1,0,1,1,4
14,2,0,0,0,0,1,1,7
16,2,0,0,0,0,1,1,9
9,2,0,0,1,1,1,1,0
15,2,0,0,1,1,1,1,0
13,3,1,0,1,0,1,1,10
8,1,3,0,0,0,1,1,8
13,1,0,0,1,1,1,1,2
8,3,1,0,0,0,0,1,7
8,3,1,0,1,0,1,1,4
11,1,0,0,1,1,1,1,4
9,1,0,0,1,0,1,0,0
13,1,0,0,1,1,1,1,4
11,1,0,0,0,0,1,0,2
10,3,0,0,0,0,1,1,4
16,2,0,0,0,0,1,1,0
13,1,0,0,0,0,1,0,0
12,1,1,0,0,0,0,0,2
10,1,0,0,1,0,1,1,0
15,1,0,0,1,1,1,1,0
12,1,0,0,0,0,1,0,0
10,1,0,0,1,1,1,0,4
13,2,0,0,0,1,1,1,0
0,3,1,0,1,1,1,1,0
10,3,0,0,1,1,1,1,0
11,1,0,0,1,1,1,1,10
9,1,2,0,0,0,1,0,4
12,3,0,0,1,1,0,1,3
11,2,0,0,0,0,1,0,8
5,3,0,0,0,0,1,1,14
19,2,0,0,0,0,1,1,0
10,2,0,0,0,0,1,1,2
15,2,2,0,1,1,1,1,4
10,1,0,0,0,1,1,1,4
15,1,0,0,0,1,1,1,0
10,1,0,0,1,1,1,1,17
14,1,0,0,0,1,1,1,4
7,3,0,0,0,0,1,1,5
10,1,0,0,0,0,1,1,2
0,3,1,0,0,0,1,0,0
5,3,1,0,0,1,1,0,14
10,2,0,0,0,1,1,0,2
6,3,0,0,1,1,1,1,7
0,2,1,0,0,0,1,1,0
8,1,0,0,1,1,1,1,0
0,1,1,0,0,0,1,0,0
9,1,2,0,1,1,1,0,11
16,3,0,0,0,0,1,1,3
7,3,3,0,0,0,1,0,3
10,3,0,0,0,0,1,1,0
9,3,0,0,0,0,1,1,5
